name,city,district_area,address,latitude,longitude,phone,rating,rating_count,google_place_id,opens,closes,is_24h,ps_focus_level,notes
LEONARDD GAME ZONE,Tbilisi,Mirtskhulava,"3 Alio Mirtskhulava St, Tbilisi 0119",41.7457227,44.7762648,+995 522 22 21 66,5.0,3,ChIJhzFJ67RzREARFuhCCFSz-O8,13:00,00:00,false,high,
GAME ZONE Varketili,Tbilisi,Varketili,"PV6J+8CH, Tbilisi",41.7108191,44.8810967,,5.0,5,ChIJN6MEBgATREARsdIHRFcUgAU,13:00,23:00,false,high,Neighborhood spot; PS + WiFi room
4Game,Tbilisi,Gldani,"Ilia Vekua St, Tbilisi",41.7937038,44.8120273,+995 598 15 14 17,4.8,18,ChIJZ7c9u7ttREARA4IEb5g3PSU,,,,mixed,PCs and consoles
Nabada Game Club,Tbilisi,Saburtalo,"55 Akaki Tsereteli Ave, Tbilisi",41.7307253,44.7861062,+995 555 40 37 94,4.8,6,ChIJL_bPugdzREARmEBnrX38IAE,12:00,03:00,false,mixed,
GAME ROOM GAMER1,Tbilisi,Samgori,"7 Kaloubani St, Tbilisi",41.6891545,44.8723564,+995 595 46 91 91,4.3,4,ChIJ1882OJcNREARbpqN-GXN-fo,14:00,02:00,false,high,
Playstation cinema lounge City Zone,Tbilisi,Isani area,"PR4R+XQ9, Tbilisi",41.7074213,44.8419994,+995 511 16 68 85,,,ChIJ73w0OkMNREARIdQp78YTBSY,00:00,23:59,true,high,PS + cinema concept
PLAYROOM PS ROOM Vake,Tbilisi,Vake,"47 Irakli Abashidze Street, Tbilisi",41.7083715,44.7604097,+995 557 64 13 05,4.5,15,ChIJI3lLPbtzREARca9FgT-w7UY,00:00,23:59,true,high,One review mentions Closed - verify
Playroom JOY,Tbilisi,Vake area,"Tbilisi",41.7093037,44.7615803,+995 599 91 39 13,4.3,76,ChIJ8aeqdyhzREARHYuBw34xad4,00:00,23:59,true,high,PS5 + movie section + Ultra VIP room with shisha
Gaming Room,Tbilisi,Saburtalo,"Tina Iosebidze St, Tbilisi",41.7267829,44.7713953,,3.0,4,ChIJT5LbodRzREARbdeTUo_4uDo,14:00,00:00,false,mixed,Recent review claims replaced by dog grooming shop - verify
ALAGIORI,Tbilisi,Gldani area,"N7 Mirian Mepe St, Tbilisi 1080",41.7877967,44.761688,+995 575 77 85 36,4.7,56,ChIJJ6mCpG1tREARji8AUXbp3T4,12:00,03:00,false,mixed,6 monitors + steering wheel + billiards + table tennis
Guru Game,Tbilisi,Saburtalo,"19 Vazha Pshavela Ave, Tbilisi",41.7273937,44.7623962,+995 32 215 15 18,4.7,55,ChIJ-UtBSiFzREARBcAol-Hjncg,00:00,23:59,true,mixed,Loyalty points; smoker/non-smoker rooms
Gaming Studio,Tbilisi,Saburtalo,"Vazha Pshavela 78a, Tbilisi",41.7232413,44.7308792,+995 568 85 83 93,5.0,39,ChIJn5CoPABzREARZaUVEuxfcIE,13:00,02:00,false,mixed,
Histar VR game club,Tbilisi,Saburtalo,"12 Lia Eliava St, Tbilisi 0162",41.7092889,44.7553126,+995 568 82 09 08,5.0,30,ChIJI0Sey-RzREARM1neoqCuXho,,,,vr,VR-focused; 5 Oculus Quest headsets
Didi Game,Tbilisi,Didi Digomi,"Microdistrict 3 building 10, Tbilisi",41.7908027,44.7427126,+995 599 93 97 24,5.0,19,ChIJC2kyagBvREAROasuy9q5tCI,15:00,03:00,false,mixed,
OFFSIDE / ოფსაიდი,Rustavi,Megobroba/Shevchenko,"Megobroba & Shevchenko corner, Rustavi",41.5534816,44.9858451,+995 557 23 04 86,4.7,9,ChIJ04sLVKMBREARh2R3xzuRLm4,13:00,03:00,false,high,Reviews call it best PS5 club in Rustavi
MYGAME #1,Rustavi,Megobroba,"47 Megobroba Ave, Rustavi",41.5617594,44.980251,+995 579 16 49 46,5.0,22,ChIJ613KUYIBREARHA-1MN4z-EY,14:00,02:00,false,high,PS5 + VR
Rustavi PlayStation 2.0,Rustavi,Megobroba,"47 Megobroba Ave, Rustavi",41.5618159,44.9802496,,5.0,2,ChIJK9xSPwAHREARSkl0jTtblPM,,,,high,Same building as MYGAME #1 - possibly related
The Game World Rustavi,Rustavi,Meskhishvili,"9 Vladimer Meskhishvili St, Rustavi",41.5640469,44.9832688,+995 595 77 76 10,4.5,13,ChIJBTVJP64GREARxzYNntcJJ_o,11:00,01:00,false,high,~9 GEL/hour
GAME ROOM,Rustavi,Shartava,"8 Jiuli Shartava St, Rustavi",41.567212,44.968734,,5.0,1,ChIJN-hITcIHREARsFmd-UeyWdc,,,,high,Hard-to-find location per review
Chill Zone,Rustavi,Todria,"7 Todria St, Rustavi",41.5594708,44.9872786,+995 533 33 38 20,5.0,8,ChIJFapqeQAHREARxe8OFty9CdM,,,,mixed,Reviews mention CS2 - may be PC-heavy
PS HUB,Kutaisi,Avtomshenebeli,"31 Avtomshenebeli St, Kutaisi",42.2597375,42.6334622,+995 599 40 67 04,5.0,10,ChIJW5oQJgDzXEARGYnlNmyd1-A,12:00,02:00,false,high,
Game Space,Kutaisi,Nikea,"4 Nikea, Kutaisi 4600",42.2478957,42.6936345,+995 511 20 04 02,4.8,33,ChIJxbWRIvuNXEARHAa6KxSeIqI,11:00,01:00,false,mixed,PlayStation + billiards
Gameportal,Kutaisi,Chavchavadze,"32 Chavchavadzis St, Kutaisi 4600",42.2530392,42.6802537,+995 571 01 80 03,5.0,2,ChIJ2WT5CACNXEARXtsgdJJfOgA,12:00,00:00,false,high,
Zone X,Kutaisi,Bukia,"10 Bukia Street, Kutaisi 4600",42.2569675,42.6472124,+995 592 04 31 42,5.0,3,ChIJGyS-WR3zXEARQI3QJT_zQ1I,11:00,02:00,false,high,
სათამაშო სივრცე (Sathamasho Sivrtse / Gaming Space),Kutaisi,Tsereteli,"16 Tsereteli St, Kutaisi 4600",42.2692399,42.7042887,+995 555 60 05 37,4.0,5,ChIJV0Ryu2KNXEARgJoPdclxHrI,11:00,03:00,false,high,Many PS5s; MK11 FIFA23
Cyber Arena Kutaisi,Kutaisi,Tamar Mepe,"26 Tamar The Queen St, Kutaisi",42.2679362,42.7062993,+995 511 21 87 77,3.2,10,ChIJr9Y6opSNXEARXvQw_oH8tiI,00:00,23:59,true,mixed,PCs + VIP rooms; reviewers complain about smoking
game club kutaisi,Kutaisi,Pushkini,"3 Pushkini Street II, Kutaisi 4600",42.2685308,42.7019175,+995 598 70 05 16,5.0,1,ChIJn3Pp_--MXEARBR3KPXCsXhc,08:00,19:00,false,mixed,
cyber lab,Kutaisi,Chavchavadze,"24 Ilia Chavchavadze Ave, Kutaisi",42.2514764,42.683593,+995 568 70 70 14,5.0,2,ChIJzTulaQWNXEARoL5aUSOuBzQ,00:00,23:59,true,mixed,
მაფია ქუთაისში (Mafia Kutaisi),Kutaisi,Javakhishvili,"73 Javakhishvili Street, Kutaisi",42.2691914,42.67416,+995 579 65 27 27,5.0,1,ChIJCVy2BQCNXEARpjMlgbuTM7E,,,,mixed,
Arena - Bowling & Billiards,Kutaisi,Chavchavadze,"63 Ilia Chavchavadze St, Kutaisi",42.2576866,42.6681365,+995 555 20 92 94,4.4,149,ChIJYwaA6z-NXEARliYKSHOPQ5E,12:00,00:00,false,mixed,Bowling + billiards venue - some PS available
სათამაშო კლუბი (Game Club),Kutaisi,Rustaveli,"95a Shota Rustaveli Ave, Kutaisi",42.2663138,42.6853207,+995 595 85 76 77,5.0,1,ChIJfYKHeMGNXEARRKvI0mih04U,00:00,23:59,true,high,
კომპიუტერული მომსახურეობა,Kutaisi,Nikea,"19/97 Nikea St, Kutaisi 4600",42.234062,42.6935497,+995 595 61 07 10,,,ChIJu768TTnzXEARWz_nTmPmdds,,,,unknown,Listed as gaming venue - verify
game center cyber club controller,Batumi,Parnavaz Mepe,"108 Parnavaz Mepe St, Batumi 6000",41.6455842,41.6300292,+995 595 02 02 99,4.9,1096,ChIJT4sp0raHZ0ARXhvWGuo-PkE,11:00,05:00,false,mixed,PCs + PS5s + driving setups for GT7; large
cyber club Game Center controller,Batumi,Khelvachauri area,"29 Niko Pirosmani St, Batumi 6000",41.6362741,41.6142868,+995 599 31 33 44,5.0,621,ChIJ5TtOgGiHZ0ARd9CVONtWJZw,10:00,04:00,false,mixed,VIP room 12 GEL/hr; controller chain branch
Cyber club Game Center controller,Batumi,Chavchavadze,"93 Chavchavadze St, Batumi",41.6427712,41.630844,+995 595 02 02 73,4.9,268,ChIJrf5oEFSHZ0AR7wwYl6I_znU,00:00,23:59,true,mixed,Best PS5 VIP in Batumi per reviews
GameRoom,Batumi,Tavdadebuli,"50 Demetre Tavdadebuli St, Batumi 6001",41.6441435,41.6391827,+995 558 50 08 00,4.8,89,ChIJ75NBnuWFZ0ARgCyMvz3oOBo,12:00,04:00,false,mixed,Billiards + games + cafe combo
Bunker Playstation Club,Batumi,Kutaisi St,"4 Kutaisi St, Batumi",41.6518455,41.6413559,+995 577 02 65 02,5.0,17,ChIJxUlptaOHZ0AR92wIxRdzUUk,17:00,01:00,false,high,Hookah + curling irons + racing
Elizeum Batumi computer club,Batumi,H. Abashidze,"15 H. Abashidze St, Batumi 6000",41.6446199,41.6302317,+995 511 33 44 44,4.4,115,ChIJEXZOOsCHZ0AR3Ii65eOOVow,00:00,23:59,true,mixed,
Godji Game Cyber Club,Batumi,Khimshiashvili,"47a Sherif Khimshiashvili St, Batumi",41.6314452,41.6037638,+995 591 35 80 80,4.5,105,ChIJ3Ru0-N6FZ0ARhEtwV0Ejx4Q,00:00,23:59,true,mixed,
PlayStation 5 / GAME TIME,Batumi,Rurua,"11 Rurua St, Batumi",41.622594,41.6226812,,5.0,6,ChIJNco_KACFZ0ARDEO37PxBtJs,,,,high,Latest consoles
Portal Cyber Club Melikishvili,Batumi,Melikishvili,"30 Melikishvili St, Batumi",41.6439915,41.6322128,+995 555 15 45 26,4.7,183,ChIJR_EBUWuHZ0AR8ngkHV6BagM,00:00,23:59,true,mixed,Portal chain
Portal Cyber Club Inasaridze,Batumi,Inasaridze,"10 Shalva Inasaridze St, Batumi 6100",41.6358681,41.6115889,+995 533 33 00 56,4.9,178,ChIJhSp2QQCFZ0ARuYzeGjmA70w,00:00,23:59,true,mixed,Portal chain branch
Portal Cyber Club Gorgiladze,Batumi,Gorgiladze,"95 Zurab Gorgiladze St, Batumi",41.643246,41.6208561,+995 533 33 22 46,4.9,58,ChIJa_423Om39kIRvZa1hvSH6yM,00:00,23:59,true,mixed,Portal chain branch
Nebula Gaming,Batumi,Tbel-Abuseridze,"Tbel-Abuseridze St, Batumi",41.6338183,41.6134935,+995 577 54 28 28,5.0,128,ChIJU5gOQgCFZ0ARSZm2QxZnaEA,00:00,23:59,true,mixed,Best cafe in Batumi per reviews
Rift Game Lounge,Batumi,Khimshiashvili,"1 Sherif Khimshiashvili St, Batumi 6004",41.6440983,41.6186628,+995 500 70 17 20,5.0,14,ChIJ_TEQQDyHZ0ARiUin4ZZWtfc,12:00,02:30,false,mixed,Best gaming club in Batumi per reviews
Level - Gastro & Game Bar,Batumi,Parnavaz Mepe,"11 Parnavaz Mepe St, Batumi 6010",41.650345,41.6422249,+995 511 28 20 77,5.0,22,ChIJX-Ou1T6GZ0ARdep8hCByEZk,18:00,03:00,false,mixed,Billiards + board games + table football
Good game,Batumi,Pushkin,"134 Pushkin St, Batumi",41.6412618,41.631681,+995 598 32 71 27,4.7,123,ChIJHTkWNQCHZ0AR8kse4vSjt64,12:00,06:00,false,mixed,
Mercury Cyber Club,Batumi,Gorgasali,"28 Vakhtang Gorgasali St, Batumi 6010",41.6488207,41.6402741,+995 595 02 84 09,5.0,230,ChIJteRMKquHZ0ARJyH2Tx0ncMc,00:00,23:59,true,mixed,
Game House Batumi,Batumi,Kobaladze,"9 Kobaladze St, Batumi 6004",41.6342768,41.6100603,+995 557 96 66 00,5.0,6,ChIJOfisDNWFZ0ARoxHGxdM4Erw,12:00,03:00,false,mixed,Pool + FIFA
Game Box,Batumi,Fridon Khalvashi,"61 Fridon Khalvashi Gamziri, Batumi",41.6173298,41.6193558,+995 557 85 85 88,4.5,29,ChIJqUoy3vKPZ0ARypTaz3Hl3VM,11:00,04:00,false,mixed,Pool + bowling + board games + PlayStation
Sony PlayStation club Kobuleti,Kobuleti,Ninoshvili,"7 Ninoshvili St, Kobuleti 6200",41.8186062,41.7753708,+995 514 91 90 00,4.3,4,ChIJ3fll3LZ3XUARiFzfd0l_FzA,12:00,00:00,false,high,Small room
Game Hub Zugdidi,Zugdidi,Zviad Gamsakhurdia,"12 Zviad Gamsakhurdia St, Zugdidi",42.5076316,41.8726037,,,,ChIJ-V-ydwAlXEAR5AtnTExJuek,12:00,02:00,false,high,New listing
Play Room Telavi,Telavi,Erekle II,"6 Erekle II 2nd lane, Telavi 2200",41.9188474,45.4724108,+995 555 41 59 90,4.8,18,ChIJI4FMqV0NREAR46XsxVZ0Q4E,11:00,01:00,false,mixed,4 GEL/hr; English-speaking staff
PlayStation Marneuli,Marneuli,Algeti area,"FR99+86M Marneuli-Algeti-Azizkenti, Marneuli",41.4683541,44.8180906,,5.0,1,ChIJaQvpcQD9Q0ARHW0y756YxNQ,,,,high,Small listing
Sivrce Gaming Lounge Terjola,Terjola,,"5XHH+J4Q Shotadzis St, Terjola",42.1783085,42.9778628,+995 510 10 24 30,5.0,2,ChIJ28y_GQC_XEARKj-ztdAgypk,17:00,01:00,false,mixed,Bonus regional spot
